,Name,Year,Rating,Votes
1170,Eight Legged Freaks,2002,5.4,48193.0
1171,Intolerable Cruelty,2003,6.3,83525.0
1172,Agent Cody Banks,2003,5.1,29946.0
1173,Lakeview Terrace,2008,6.1,44871.0
1174,The Great Debaters,2007,7.6,52275.0
1175,Big Fat Liar,2002,5.4,31833.0
1176,"Paris, je t'aime",2006,7.3,66887.0
1177,The Benchwarmers,2006,5.6,44515.0
1178,Venus,2006,7.1,11853.0
1179,The New Guy,2002,5.9,31237.0
1180,Big Momma's House,2000,5.1,74064.0
1181,Radio,2003,6.9,34937.0
1182,Must Love Dogs,2005,5.9,28600.0
1183,Madea's Family Reunion,2006,5.1,9776.0
1184,The Boondock Saints II: All Saints Day,2009,6.3,57406.0
1185,Behind the Mask: The Rise of Leslie Vernon,2006,6.8,19179.0
1186,Shortbus,2006,6.5,29887.0
1187,Le scaphandre et le papillon,2007,8.0,96825.0
1188,Proof,2005,6.8,40123.0
1189,No Reservations,2007,6.3,65014.0
1190,Nowhere Boy,2009,7.1,32084.0
1191,Turistas,2006,5.4,33616.0
1192,Dumb and Dumberer: When Harry Met Lloyd,2003,3.4,33390.0
1193,The Pink Panther,2006,5.6,73457.0
1194,The Tuxedo,2002,5.4,70778.0
1195,Whiteout,2009,5.5,34802.0
1196,The Kite Runner,2007,7.6,73271.0
1197,I Can't Think Straight,2008,6.6,6866.0
1198,Swimfan,2002,5.0,17659.0
1199,The Hunted,2003,6.0,39673.0
1200,Repo! The Genetic Opera,2008,6.7,21902.0
1201,In the Valley of Elah,2007,7.2,64728.0
1202,Siu Lam juk kau,2001,7.3,66055.0
1203,Thirteen Days,2000,7.3,49534.0
1204,Cube Zero,2004,5.7,32722.0
1205,Transporter 3,2008,6.1,142828.0
1206,Brooklyn's Finest,2009,6.7,56719.0
1207,Glory Road,2006,7.2,38940.0
1208,Mr. Magorium's Wonder Emporium,2007,6.2,39185.0
1209,Mindhunters,2004,6.4,54030.0
1210,Now & Later,2009,5.2,1178.0
1211,Elizabethtown,2005,6.4,63154.0
1212,How to Lose Friends & Alienate People,2008,6.4,64763.0
1213,Fish Tank,2009,7.3,53558.0
1214,Just My Luck,2006,5.4,49461.0
1215,Byôsoku 5 senchimêtoru,2007,7.7,40604.0
1216,Volver,2006,7.6,85599.0
1217,S. Darko,2009,3.6,12166.0
1218,Man cheng jin dai huang jin jia,2006,7.0,39408.0
1219,Stealth,2005,5.0,48838.0
1220,Dr. T & the Women,2000,4.6,16604.0
1221,About Schmidt,2002,7.2,115336.0
1222,Thunderbirds,2004,4.2,12180.0
1223,Lions for Lambs,2007,6.2,44584.0
1224,Baby Boy,2001,6.4,11150.0
1225,K-PAX,2001,7.4,164086.0
1226,Employee of the Month,2006,5.5,40712.0
1227,Georgia Rule,2007,5.9,22491.0
1228,Wonderland,2003,6.6,20026.0
1229,Death Note,2006,7.8,26178.0
1230,The Joneses,2009,6.5,36224.0
1231,Feast,2005,6.4,27541.0
1232,Spy Kids 2: Island of Lost Dreams,2002,5.1,52378.0
1233,Stomp the Yard,2007,5.3,20733.0
1234,The Way of the Gun,2000,6.7,29608.0
1235,Just Visiting,2001,5.8,16782.0
1236,Havoc,2005,5.5,17196.0
1237,The Squid and the Whale,2005,7.4,67873.0
1238,Jersey Girl,2004,6.2,59054.0
1239,Ladder 49,2004,6.5,51692.0
1240,Bulletproof Monk,2003,5.5,45178.0
1241,The International,2009,6.5,85292.0
1242,Hidalgo,2004,6.7,72468.0
1243,G-Force,2009,5.1,37674.0
1244,Celda 211,2009,7.7,57734.0
1245,The Missing,2003,6.5,30148.0
1246,License to Wed,2007,5.3,35464.0
1247,Sinbad: Legend of the Seven Seas,2003,6.7,42745.0
1248,Facing the Giants,2006,6.7,13996.0
1249,Surf's Up,2007,6.7,60500.0
1250,The Family Stone,2005,6.3,54442.0
1251,Ong-bak,2003,7.2,66055.0
1252,Whatever It Takes,2000,5.5,8853.0
1253,Gegen die Wand,2004,8.0,45871.0
1254,After the Sunset,2004,6.3,41451.0
1255,ATL,2006,6.0,10065.0
1256,La monja,2005,4.0,2821.0
1257,Boksuneun naui geot,2002,7.7,54086.0
1258,The Women,2008,4.9,18736.0
1259,"Legally Blonde 2: Red, White & Blonde",2003,4.7,53909.0
1260,Alone in the Dark,2005,2.3,39849.0
1261,Fever Pitch,2005,6.2,39261.0
1262,The Rookie,2002,7.0,29128.0
1263,Io sono l'amore,2009,7.1,17477.0
1264,Gossip,2000,5.9,13425.0
1265,Madeo,2009,7.8,35086.0
1266,Becoming Jane,2007,7.1,52749.0
1267,The Brave One,2007,6.8,54348.0
1268,Hable con ella,2002,8.0,94920.0
1269,Cats & Dogs,2001,5.1,51487.0
1270,Crocodile Dundee in Los Angeles,2001,4.8,21733.0
1271,Uptown Girls,2003,6.1,32241.0
1272,Don't Say a Word,2001,6.3,44657.0
1273,White Oleander,2002,7.2,27645.0
1274,The Proposition,2005,7.4,46337.0
1275,Bandidas,2006,5.7,31630.0
1276,Diarios de motocicleta,2004,7.8,89996.0
1277,Wonder Boys,2000,7.4,57818.0
1278,Crazy/Beautiful,2001,6.5,22690.0
1279,Duplicity,2009,6.2,44487.0
1280,The Cooler,2003,7.0,30297.0
1281,Just Like Heaven,2005,6.7,90883.0
1282,P2,2007,5.9,28815.0
1283,Because of Winn-Dixie,2005,6.4,9412.0
1284,Stan Helsing,2009,3.6,10896.0
1285,Pulse,2006,4.7,26605.0
1286,I Could Never Be Your Woman,2007,6.0,15788.0
1287,Whale Rider,2002,7.6,36948.0
1288,An Unfinished Life,2005,7.0,26567.0
1289,Happily N'Ever After,2006,4.5,9343.0
1290,The Messenger,2009,7.1,31859.0
1291,Cursed,2005,5.0,28280.0
1292,Hoodwinked!,2005,6.5,51144.0
1293,Mar adentro,2004,8.0,71224.0
1294,Rollerball,2002,3.0,23729.0
1295,Whatever Works,2009,7.2,65656.0
1296,Banlieue 13,2004,7.2,61315.0
1297,Butterfly on a Wheel,2007,6.7,28018.0
1298,The Master of Disguise,2002,3.3,19805.0
1299,Bratz,2007,2.9,16195.0
1300,Exorcist: The Beginning,2004,5.1,30927.0
1301,Flight of the Phoenix,2004,6.1,48922.0
1302,Reno 911!: Miami,2007,5.9,25117.0
1303,My Super Ex-Girlfriend,2006,5.1,58007.0
1304,Dalkomhan insaeng,2005,7.6,30323.0
1305,The Station Agent,2003,7.7,62814.0
1306,Collateral Damage,2002,5.5,67013.0
1307,Arthur et les Minimoys,2006,6.0,29322.0
1308,An American Haunting,2005,5.0,23455.0
1309,Because I Said So,2007,5.6,35040.0
1310,Chaos,2005,6.5,47737.0
1311,Red Planet,2000,5.7,51499.0
1312,You Can Count on Me,2000,7.6,25470.0
1313,Gomorra,2008,7.0,42408.0
1314,House of Sand and Fog,2003,7.6,60725.0
1315,Chopper,2000,7.2,33959.0
1316,Awake,2007,6.5,68395.0
1317,Cadillac Records,2008,7.0,17667.0
1318,Raising Helen,2004,6.0,33395.0
1319,Dagon,2001,6.3,14514.0
1320,Diary of the Dead,2007,5.7,43499.0
1321,The Notorious Bettie Page,2005,6.6,9665.0
1322,xXx: State of the Union,2005,4.4,61754.0
1323,Splinter,2008,6.1,29983.0
1324,Babylon A.D.,2008,5.6,88128.0
1325,Untraceable,2008,6.2,44415.0
1326,Josie and the Pussycats,2001,5.4,20155.0
1327,Død snø,2009,6.3,59660.0
1328,Love and Other Impossible Pursuits,2009,6.4,17263.0
1329,Pontypool,2008,6.6,25921.0
1330,Like Mike,2002,5.2,17038.0
1331,"New York, I Love You",2008,6.3,42297.0
1332,Roll Bounce,2005,6.1,6028.0
1333,After.Life,2009,5.9,33840.0
1334,"Se, jie",2007,7.6,33760.0
1335,The Eye,2008,5.4,47994.0
1336,Four Christmases,2008,5.7,55331.0
1337,In the Loop,2009,7.5,49661.0
1338,Babam ve Oglum,2005,8.4,61131.0
1339,The Other Man,2008,5.5,10113.0
1340,Miss Congeniality 2: Armed & Fabulous,2005,5.1,60497.0
1341,Brideshead Revisited,2008,6.7,11145.0
1342,All the Real Girls,2003,6.9,9834.0
1343,Nothing But the Truth,2008,7.2,33504.0
1344,11:14,2003,7.2,41137.0
1345,The Greatest Game Ever Played,2005,7.5,25057.0
1346,Romance & Cigarettes,2005,6.3,10742.0
1347,The Ringer,2005,5.8,33146.0
1348,Kate & Leopold,2001,6.4,72130.0
1349,Dungeons & Dragons,2000,3.7,29620.0
1350,Manic,2001,7.4,8815.0
1351,The Majestic,2001,6.9,48780.0
1352,Ned Kelly,2003,6.5,23774.0
1353,Mean Creek,2004,7.3,28729.0
1354,Das Experiment,2001,7.7,85621.0
1355,The Medallion,2003,5.2,34795.0
1356,Nancy Drew,2007,5.9,17643.0
1357,Ju-on,2002,6.7,36042.0
1358,Ghost Town,2008,6.7,64759.0
1359,In Her Shoes,2005,6.5,55724.0
1360,The Messengers,2007,5.4,35968.0
1361,Reign Over Me,2007,7.5,88854.0
1362,Scarlet Diva,2000,5.2,2047.0
1363,Kiss of the Dragon,2001,6.6,57020.0
1364,Wristcutters: A Love Story,2006,7.3,50327.0
1365,Dark Water,2005,5.6,55360.0
1366,The Weather Man,2005,6.6,73592.0
1367,It's a Boy Girl Thing,2006,6.3,36304.0
1368,Charlie Bartlett,2007,7.0,59886.0
1369,Snow Day,2000,5.0,10362.0
1370,The Perfect Score,2004,5.7,21645.0
1371,Loser,2000,5.3,24682.0
1372,Shelter,2007,7.8,18740.0
1373,Scenes of a Sexual Nature,2006,6.1,4731.0
1374,The Wind that Shakes the Barley,2006,7.5,41339.0
1375,The Nanny Diaries,2007,6.2,52644.0
1376,A Man Apart,2003,6.1,41570.0
1377,The Santa Clause 2,2002,5.6,41815.0
1378,The Final Cut,2004,6.2,28997.0
1379,Do Começo ao Fim,2009,6.6,6516.0
1380,Date Movie,2006,2.8,53739.0
1381,Breach,2007,7.0,54978.0
1382,Ten Inch Hero,2007,7.5,11098.0
1383,Lost and Delirious,2001,7.0,18618.0
1384,Reindeer Games,2000,5.7,34341.0
1385,Lucky You,2007,5.9,19286.0
1386,Kangaroo Jack,2003,4.4,26274.0
1387,Did You Hear About the Morgans?,2009,4.8,33256.0
1388,Get Over It,2001,5.8,16670.0
1389,Che: Part One,2008,7.2,41426.0
1390,Loft,2008,7.3,18183.0
1391,The Condemned,2007,6.1,47737.0
1392,Adam,2009,7.2,31829.0
1393,Black Friday,2004,8.6,15185.0
1394,Jeux d'enfants,2003,7.7,62126.0
1395,Lilja 4-ever,2002,7.9,38954.0
1396,Bobby,2006,7.0,39680.0
1397,Stuck on You,2003,5.8,48042.0
1398,24 Hour Party People,2002,7.4,29617.0
1399,The Kid,2000,6.1,37273.0
1400,What Planet Are You From?,2000,5.6,8649.0
1401,The Love Guru,2008,3.8,46566.0
1402,Paper Man,2009,6.6,17018.0
1403,The Lookout,2007,7.0,54109.0
1404,The Tournament,2009,6.1,32600.0
1405,The Merchant of Venice,2004,7.1,32340.0
1406,Friends with Money,2006,5.8,23166.0
1407,The Rebound,2009,6.3,43217.0
1408,Beyond Borders,2003,6.5,24715.0
1409,My Best Friend's Girl,2008,5.9,40056.0
1410,Perfect Stranger,2007,5.7,41374.0
1411,Dev.D,2009,8.1,24975.0
1412,Astro Boy,2009,6.3,29343.0
1413,Where the Truth Lies,2005,6.5,16066.0
1414,Cube 2: Hypercube,2002,5.6,56804.0
1415,Extract,2009,6.2,41911.0
1416,Far from Heaven,2002,7.4,40209.0
1417,Control,2007,7.7,56405.0
1418,Dickie Roberts: Former Child Star,2003,5.6,12633.0
1419,102 Dalmatians,2000,4.9,30412.0
1420,Exit Wounds,2001,5.5,29675.0
1421,Tanner Hall,2009,5.9,2860.0
1422,Guess Who,2005,5.9,37240.0
1423,2046,2004,7.5,45819.0
1424,Miss Pettigrew Lives for a Day,2008,7.1,24476.0
1425,You Got Served,2004,3.6,24632.0
1426,The Informers,2008,5.0,15120.0
1427,Youth in Revolt,2009,6.5,69450.0
1428,The Marine,2006,4.7,30111.0
1429,Polytechnique,2009,7.3,9879.0
1430,"The Goods: Live Hard, Sell Hard",2009,5.8,19089.0
1431,Savage Grace,2007,5.9,9901.0
1432,Chi bi,2008,7.4,40544.0
1433,The Reaping,2007,5.7,40046.0
1434,Intimacy,2001,6.2,10216.0
1435,Envy,2004,4.8,28268.0
1436,Gods and Generals,2003,6.3,14286.0
1437,Passengers,2008,5.9,31206.0
1438,Barnyard,2006,5.6,23967.0
1439,Frost/Nixon,2008,7.7,95465.0
1440,Bright Star,2009,7.0,23471.0
1441,Dead End,2003,6.6,22803.0
1442,Huo yuanjia,2006,7.7,67832.0
1443,Vozvrashchenie,2003,8.0,36924.0
1444,Prozac Nation,2001,6.3,15940.0
1445,Laurel Canyon,2002,6.4,14944.0
1446,Lonely Hearts,2006,6.5,19092.0
1447,Bom yeoreum gaeul gyeoul geurigo bom,2003,8.1,69599.0
1448,Persepolis,2007,8.1,79583.0
1449,D.E.B.S.,2004,5.3,13463.0
1450,Pootie Tang,2001,5.2,12580.0
1451,Trouble Every Day,2001,6.0,6178.0
1452,Van Wilder 2: The Rise of Taj,2006,4.8,20857.0
1453,Drillbit Taylor,2008,5.7,54348.0
1454,Shattered Glass,2003,7.2,31125.0
1455,Goal!,2005,6.7,56007.0
1456,Star Wars: The Clone Wars,2008,5.9,48952.0
1457,Monamour,2006,5.5,3637.0
1458,Coffee and Cigarettes,2003,7.1,53421.0
1459,Bad Company,2002,5.6,42405.0
1460,Mongol,2007,7.3,41249.0
1461,Deuce Bigalow: European Gigolo,2005,4.6,44740.0
1462,Toki o kakeru shôjo,2006,7.8,48907.0
1463,Cargo,2009,6.2,17557.0
1464,The Edge of Love,2008,6.3,15089.0
1465,The Private Lives of Pippa Lee,2009,6.4,12048.0
1466,The Hole,2009,5.7,20971.0
1467,Speak,2004,7.3,22914.0
1468,The World's Fastest Indian,2005,7.8,47983.0
1469,The Girlfriend Experience,2009,5.5,14893.0
1470,Transsiberian,2008,6.7,46521.0
1471,Planet 51,2009,6.1,45948.0
1472,The Forgotten,2004,5.8,60940.0
1473,Easy Virtue,2008,6.7,18517.0
1474,Snow Dogs,2002,5.1,22801.0
1475,Nim's Island,2008,6.0,30675.0
1476,Keeping Mum,2005,6.8,30829.0
1477,Leatherheads,2008,6.0,29465.0
1478,16 Blocks,2006,6.6,119847.0
1479,Party Monster,2003,6.3,13782.0
1480,Pride and Glory,2008,6.7,56341.0
1481,Antwone Fisher,2002,7.3,29671.0
1482,Boogeyman,2005,4.2,28113.0
1483,The Grudge 2,2006,5.0,43226.0
1484,Coco avant Chanel,2009,6.7,35522.0
1485,Baise-moi,2000,4.5,15679.0
1486,National Security,2003,5.6,43128.0
1487,Jimmy Neutron: Boy Genius,2001,6.0,27298.0
1488,Undisputed,2002,6.2,25991.0
1489,Big Trouble,2002,6.5,18681.0
1490,The Hitcher,2007,5.6,37783.0
1491,Feardotcom,2002,3.3,18364.0
1492,Darbareye Elly,2009,8.1,35595.0
1493,Suspect Zero,2004,5.9,17778.0
1494,Christmas with the Kranks,2004,5.3,34073.0
1495,Curious George,2006,6.5,14078.0
1496,Zoom,2006,4.3,16815.0
1497,The Alamo,2004,6.0,18191.0
1498,The Libertine,2004,6.4,33086.0
1499,The Brothers Bloom,2008,6.8,45527.0
1500,Town Creek,2009,5.4,10573.0
1501,Manderlay,2005,7.4,20461.0
1502,Alfie,2004,6.2,47310.0
1503,Madea Goes to Jail,2009,4.3,10552.0
1504,Gerry,2002,6.2,16472.0
1505,Beauty Shop,2005,5.5,14835.0
1506,Stuart Little 2,2002,5.5,43447.0
1507,In the Land of Women,2007,6.5,29704.0
1508,Hollywoodland,2006,6.5,31020.0
1509,Captain Corelli's Mandolin,2001,5.9,30494.0
1510,Ice Princess,2005,6.0,22295.0
1511,Nutty Professor II: The Klumps,2000,4.4,44254.0
1512,Cry Wolf,2005,5.9,24529.0
1513,Dominion: Prequel to the Exorcist,2005,5.3,9210.0
1514,The Great Raid,2005,6.7,19862.0
1515,All the Pretty Horses,2000,5.8,12223.0
1516,Hearts in Atlantis,2001,6.9,33332.0
1517,Hedwig and the Angry Inch,2001,7.8,28788.0
1518,Be Kind Rewind,2008,6.4,84758.0
1519,La mala educación,2004,7.5,50109.0
1520,Fat Albert,2004,4.3,10294.0
1521,Traitor,2008,7.0,52379.0
1522,Monkeybone,2001,4.7,15501.0
1523,Igby Goes Down,2002,7.0,30535.0
1524,Spider,2002,6.8,33010.0
1525,The Tale of Despereaux,2008,6.1,33469.0
1526,Love in the Time of Cholera,2007,6.4,20844.0
1527,In America,2002,7.8,38545.0
1528,Rise of the Footsoldier,2007,6.9,17732.0
1529,Sugar & Spice,2001,5.6,12445.0
1530,La sconosciuta,2006,7.5,11936.0
1531,Trash Humpers,2009,5.0,3614.0
1532,Nicholas Nickleby,2002,7.2,10553.0
1533,If Only,2004,7.2,29425.0
1534,The Magdalene Sisters,2002,7.8,24217.0
1535,Balls of Fury,2007,5.3,38228.0
1536,Choke,2008,6.5,30089.0
1537,Horn 'OK' Pleassss,2009,3.9,32.0
1538,Dirty Pretty Things,2002,7.4,37881.0
1539,The History Boys,2006,6.9,19104.0
1540,Love Wrecked,2005,4.9,13018.0
1541,See No Evil,2006,5.1,23950.0
1542,Two for the Money,2005,6.2,40122.0
1543,Get Carter,2000,5.1,30000.0
1544,Book of Love,2004,5.4,1552.0
1545,Son of Rambow,2007,7.0,29088.0
1546,Tom yum goong,2005,7.1,32747.0
1547,Bitch Slap,2009,4.5,12811.0
1548,Riding in Cars with Boys,2001,6.5,24716.0
1549,Old Dogs,2009,5.4,33790.0
1550,Boys and Girls,2000,5.4,14855.0
1551,Autumn in New York,2000,5.6,22643.0
1552,Neko no ongaeshi,2002,7.3,37483.0
1553,Out Cold,2001,6.3,15527.0
1554,Mad Money,2008,5.8,18676.0
1555,One Missed Call,2008,4.0,28948.0
1556,Torque,2004,4.0,25411.0
1557,Survival of the Dead,2009,4.9,18965.0
1558,Dragonfly,2002,6.1,34233.0
1559,Fireproof,2008,6.6,19095.0
1560,Fame,2009,5.0,15137.0
1561,Birth,2004,6.1,32242.0
1562,Pathology,2008,6.0,28881.0
1563,Take the Lead,2006,6.7,23375.0
1564,Open Water 2: Adrift,2006,5.1,15655.0
1565,The Three Burials of Melquiades Estrada,2005,7.4,36378.0
1566,Are We There Yet?,2005,4.6,25844.0
1567,The Burning Plain,2008,6.8,17173.0
1568,Peaceful Warrior,2006,7.3,23926.0
1569,Breakfast on Pluto,2005,7.3,19201.0
1570,The Animal,2001,4.8,52215.0
1571,Malibu's Most Wanted,2003,5.1,17234.0
1572,Kissing Jessica Stein,2001,6.6,15013.0
1573,88 Minutes,2007,5.9,70450.0
1574,Down with Love,2003,6.3,36615.0
1575,Urban Legends: Final Cut,2000,4.2,14436.0
1576,Pollock,2000,7.0,25123.0
1577,As You Like It,2006,6.3,2764.0
1578,Firewall,2006,5.8,53041.0
1579,Hoot,2006,5.6,7214.0
1580,All the King's Men,2006,6.2,22298.0
1581,Les choristes,2004,7.9,50623.0
1582,Driven,2001,4.6,36862.0
1583,Captivity,2007,4.7,21662.0
1584,The Water Horse,2007,6.5,34729.0
1585,Assault on Precinct 13,2005,6.3,69753.0
1586,C.R.A.Z.Y.,2005,8.0,29659.0
1587,The Invisible,2007,6.3,33010.0
1588,The Skulls,2000,5.6,29074.0
1589,Bad News Bears,2005,5.8,18894.0
1590,Rules of Engagement,2000,6.4,40822.0
1591,Amazing Grace,2006,7.5,22522.0
1592,Factory Girl,2006,6.4,19772.0
1593,Happy-Go-Lucky,2008,7.0,35249.0
1594,The Glass House,2001,5.8,28391.0
1595,Lesbian Vampire Killers,2009,5.1,18578.0
1596,No mires para abajo,2008,6.1,2201.0
1597,Swept Away,2002,3.6,14227.0
1598,America's Sweethearts,2001,5.7,51276.0
1599,College,2008,4.6,11597.0
1600,Night of the Demons,2009,4.7,6496.0
1601,Chapter 27,2007,5.7,9577.0
1602,The Express,2008,7.3,18266.0
1603,Everybody's Fine,2009,7.1,54958.0
1604,Feast of Love,2007,6.7,15196.0
1605,Devdas,2002,7.6,32913.0
1606,Sex and Death 101,2007,6.0,10118.0
1607,Ils,2006,6.5,26975.0
1608,Down to the Bone,2004,6.7,1968.0
1609,The Contender,2000,7.0,21665.0
1610,The Salton Sea,2002,7.2,28173.0
1611,Yeopgijeogin geunyeo,2001,8.1,41217.0
1612,Divine Secrets of the Ya-Ya Sisterhood,2002,6.0,16677.0
1613,Stormbreaker,2006,5.1,21888.0
1614,Black Water,2007,6.0,11353.0
1615,The Last Kiss,2006,6.5,39575.0
1616,15 Minutes,2001,6.1,45710.0
1617,The Company,2003,6.4,5947.0
1618,The Shaggy Dog,2006,4.4,16615.0
1619,Middle Men,2009,6.6,34696.0
1620,Miss March,2009,5.0,19720.0
1621,[Rec]²,2009,6.5,62115.0
1622,Club Dread,2004,5.7,26237.0
1623,Run Fatboy Run,2007,6.6,62586.0
1624,Mr. Woodcock,2007,5.2,33316.0
1625,Heist,2001,6.5,30434.0
1626,Sucker Punch,2008,5.0,1156.0
1627,Hotel for Dogs,2009,5.4,19000.0
1628,My Blueberry Nights,2007,6.7,48340.0
1629,Bride & Prejudice,2004,6.2,18715.0
1630,Wimbledon,2004,6.3,55755.0
1631,Breaking and Entering,2006,6.5,21030.0
1632,The Ant Bully,2006,5.8,33544.0
1633,The Believer,2001,7.2,33750.0
1634,The Wackness,2008,7.0,28726.0
1635,World's Greatest Dad,2009,6.9,34860.0
1636,Antitrust,2001,6.1,27020.0
1637,The X Files: I Want to Believe,2008,5.9,84102.0
1638,Good Dick,2008,6.4,7265.0
1639,Dahmer,2002,5.6,8364.0
1640,Fighting,2009,5.6,30143.0
1641,Last Holiday,2006,6.4,25030.0
1642,Ready to Rumble,2000,5.3,12682.0
1643,Beverly Hills Chihuahua,2008,3.8,19835.0
1644,J'ai tué ma mère,2009,7.5,23540.0
1645,Akeelah and the Bee,2006,7.4,16822.0
1646,Superbabies: Baby Geniuses 2,2004,2.0,27960.0
1647,Enigma,2001,6.4,18937.0
1648,Restraint,2008,6.1,5433.0
1649,Thomas and the Magic Railroad,2000,3.8,3293.0
1650,Pumpkin,2002,6.2,7986.0
1651,"Welcome Home, Roscoe Jenkins",2008,5.4,12244.0
1652,Joheunnom nabbeunnom isanghannom,2008,7.3,29818.0
1653,A Dirty Shame,2004,5.1,11428.0
1654,London,2005,6.6,20862.0
1655,Kairo,2001,6.6,13931.0
1656,Love Happens,2009,5.6,28116.0
1657,The Tailor of Panama,2001,6.2,25865.0
1658,Rampage,2009,6.3,16895.0
1659,Junebug,2005,7.0,20413.0
1660,Death to Smoochy,2002,6.4,36663.0
1661,Mean Machine,2001,6.5,32536.0
1662,Raise Your Voice,2004,5.9,24903.0
1663,Pieces of April,2003,7.1,18958.0
1664,La terza madre,2007,5.1,8132.0
1665,The Wild,2006,5.3,21387.0
1666,Win a Date with Tad Hamilton!,2004,5.6,24789.0
1667,The Lazarus Project,2008,6.2,15833.0
1668,Ondskan,2003,7.8,32948.0
1669,Vals Im Bashir,2008,8.0,51117.0
1670,Black Sheep,2006,5.8,36979.0
1671,Spartan,2004,6.6,27952.0
1672,The Singing Detective,2003,5.6,7642.0
1673,A Sound of Thunder,2005,4.2,17784.0
1674,Deuces Wild,2002,5.6,6589.0
1675,The Secret of Kells,2009,7.7,27245.0
1676,Twisted,2004,5.2,18667.0
1677,O,2001,6.2,18288.0
1678,The Door in the Floor,2004,6.7,14430.0
1679,"4 luni, 3 saptamâni si 2 zile",2007,7.9,50615.0
1680,The Santa Clause 3: The Escape Clause,2006,4.7,26912.0
1681,Hounddog,2007,6.3,5594.0
1682,3000 Miles to Graceland,2001,5.9,40943.0
1683,Deadgirl,2008,5.7,17195.0
1684,Prey,2007,4.7,7088.0
1685,Napola - Elite für den Führer,2004,7.4,12776.0
1686,Bringing Down the House,2003,5.6,32447.0
1687,Black Knight,2001,4.8,34485.0
1688,The Butterfly Effect 3: Revelations,2009,5.6,17189.0
1689,Ararat,2002,6.6,10919.0
1690,Return to Never Land,2002,5.8,15703.0
1691,Serving Sara,2002,5.3,15592.0
1692,Rabbit-Proof Fence,2002,7.5,25425.0
1693,The Stoning of Soraya M.,2008,8.0,16522.0
1694,Bottle Shock,2008,6.8,13517.0
1695,Calendar Girls,2003,6.9,21228.0
1696,Sorority Boys,2002,5.4,12959.0
1697,Reservation Road,2007,6.7,20500.0
1698,Changing Lanes,2002,6.5,62288.0
1699,Felon,2008,7.5,71296.0
1700,Tenderness,2009,5.5,7156.0
1701,Smiley Face,2007,5.8,15192.0
1702,Arn: Tempelriddaren,2007,6.6,19621.0
1703,Before Night Falls,2000,7.3,22367.0
1704,No Good Deed,2002,5.5,6485.0
1705,Taxi 4,2007,5.6,23599.0
1706,Last Days,2005,5.8,20315.0
1707,12 Rounds,2009,5.6,25281.0
1708,Lila dit ça,2004,7.0,4315.0
1709,Beowulf & Grendel,2005,5.9,16581.0
1710,Cowboy Bebop: Tengoku no tobira,2001,7.9,37468.0
1711,The Broken,2008,5.5,9680.0
1712,Lake Mungo,2008,6.1,12165.0
1713,Keeping the Faith,2000,6.4,47236.0
1714,Minotaur,2006,3.6,4034.0
1715,Water,2005,7.8,13443.0
1716,Severance,2006,6.5,34182.0
1717,The Reckoning,2002,6.5,5392.0
1718,What Doesn't Kill You,2008,6.6,10726.0
1719,I Spy,2002,5.4,45291.0
1720,Banlieue 13: Ultimatum,2009,6.5,40361.0
1721,The Visitor,2007,7.7,39707.0
1722,Interstate 60: Episodes of the Road,2002,7.7,26571.0
1723,The 51st State,2001,6.3,45365.0
1724,Cabin Fever 2: Spring Fever,2009,4.3,11638.0
1725,Why Did I Get Married?,2007,5.8,11364.0
1726,Dark Blue,2002,6.6,18921.0
1727,The Importance of Being Earnest,2002,6.9,20602.0
1728,Les rivières pourpres,2000,6.9,53116.0
1729,Ha phraeng,2009,6.8,1844.0
1730,College Road Trip,2008,4.3,14315.0
1731,The Man,2005,5.6,23377.0
1732,Eagle vs Shark,2007,6.8,19763.0
1733,Noroi,2005,7.0,7712.0
1734,Home on the Range,2004,5.4,16734.0
1735,Ai no mukidashi,2008,8.1,9453.0
1736,Géminis,2005,6.1,937.0
1737,The Quiet American,2002,7.1,25582.0
1738,Karla,2006,5.5,5303.0
1739,"You, Me and Dupree",2006,5.6,73640.0
1740,Guy and Madeline on a Park Bench,2009,6.0,1051.0
1741,Bienvenue chez les Ch'tis,2008,7.1,35368.0
1742,Der Baader Meinhof Komplex,2008,7.4,32835.0
1743,In Good Company,2004,6.5,51184.0
1744,American Splendor,2003,7.5,44827.0
1745,The Ultimate Gift,2006,7.4,15991.0
1746,Tau man ji D,2005,6.4,6534.0
1747,View from the Top,2003,5.2,23364.0
1748,Pride,2007,5.9,5852.0
1749,Elegy,2008,6.8,20825.0
1750,Young Adam,2003,6.5,12394.0
1751,Hart's War,2002,6.3,47490.0
1752,The Pink Panther 2,2009,5.6,37863.0
1753,San ging chaat goo si,2004,7.0,22179.0
1754,Chéri,2009,6.2,9707.0
1755,The Sentinel,2006,6.1,45155.0
1756,Tigerland,2000,7.0,35695.0
1757,Things We Lost in the Fire,2007,7.2,26202.0
1758,Morvern Callar,2002,6.8,8060.0
1759,Dare mo shiranai,2004,8.1,20195.0
1760,New in Town,2009,5.6,19732.0
1761,The Dish,2000,7.2,13976.0
1762,Igor,2008,6.0,21036.0
1763,My Life Without Me,2003,7.6,22748.0
1764,Proof of Life,2000,6.2,52184.0
1765,The Oxford Murders,2008,6.1,25298.0
1766,Kabhi Khushi Kabhie Gham...,2001,7.5,37971.0
1767,Garfield: A Tail of Two Kitties,2006,5.0,33270.0
1768,The Watcher,2000,5.3,23862.0
